,Centre A Features,,,Centre B Features,,,Consolidated Features,
Rank,Score,Feature,,Score,Feature,,Score,Feature
1,1,GLRLM - Gray-Level Non-Uniformity,,1,First-Order - Range,,0.919196958,GLSZM - Zone Entropy
2,0.942610005,NGTDM - Contrast,,0.919196958,GLSZM - Zone Entropy,,0.763808631,GLCM - Inverse Difference Normalized
3,0.925158971,GLSZM - Zone Entropy,,0.879824056,GLCM - Cluster Prominence,,0.702758067,Shape & Size - Surface Volume Ratio
4,0.921418661,GLCM - Inverse Difference Normalized,,0.763808631,GLCM - Inverse Difference Normalized,,0.694475642,GLCM - Correlation
5,0.914059459,GLCM - Inverse Variance,,0.750301981,NGTDM - Strength,,0.630344108,GLSZM - Size Zone Non-Uniformity
6,0.87788936,GLSZM - Zone Percentage,,0.702758067,Shape & Size - Surface Volume Ratio,,0.629369995,NGTDM - Strength
7,0.850569724,GLDM - Dependence Entropy,,0.694475642,GLCM - Correlation,,0.610564879,GLSZM - Gray-Level Non-Uniformity Normalized
8,0.825998737,Shape & Size - Surface Volume Ratio,,0.675562822,GLSZM - Small Area High Gray-Level Emphasis,,0.606963987,GLCM - Cluster Prominence
9,0.816335764,GLRLM - Gray-Level Non-Uniformity Normalized,,0.631816664,Shape & Size - Sphericity,,0.600364495,GLRLM - Run Entropy
10,0.810355539,GLCM - Correlation,,0.630344108,GLSZM - Size Zone Non-Uniformity,,0.585989121,GLDM - Dependence Non-Uniformity Normalized
11,0.808645411,First-Order - Kurtosis,,0.617722458,GLSZM - Large Area High Gray-Level Emphasis,,0.556938766,NGTDM - Contrast
12,0.801680059,First-Order - 10th Percentile,,0.610564879,GLSZM - Gray-Level Non-Uniformity Normalized,,0.521368092,GLCM - Cluster Shade
13,0.775676286,GLCM - Informational Measure of Correlation 2,,0.600364495,GLRLM - Run Entropy,,0.514910173,GLCM - Informational Measure of Correlation 2
14,0.746377252,GLCM - Cluster Shade,,0.585989121,GLDM - Dependence Non-Uniformity Normalized,,0.497590991,GLCM - Inverse Variance
15,0.721059622,NGTDM - Busyness,,0.576345778,GLCM - Difference Entropy,,0.495255752,Shape & Size - Sphericity
16,0.716412969,GLSZM - Large Area Low Gray-Level Emphasis,,0.574462684,NGTDM - Complexity,,0.490978411,First-Order - Kurtosis
17,0.700287453,Shape & Size - Flatness,,0.558804917,First-Order - Minimum,,0.486154817,GLDM - Large Dependence Low Gray-Level Emphasis
18,0.677751334,GLCM - Informational Measure of Correlation 1,,0.556938766,NGTDM - Contrast,,0.475013546,GLRLM - Gray-Level Non-Uniformity Normalized
19,0.660654159,GLCM - Contrast,,0.552492291,GLCM - Maximal Correlation Coefficient,,0.469539269,GLDM - Small Dependence Low Gray-Level Emphasis
20,0.642532677,GLSZM - Size Zone Non-Uniformity,,0.521368092,GLCM - Cluster Shade,,0.459478688,First-Order - 10th Percentile
21,0.642290229,GLSZM - Gray-Level Non-Uniformity Normalized,,0.514910173,GLCM - Informational Measure of Correlation 2,,0.454042833,GLCM - Informational Measure of Correlation 1
22,0.629369995,NGTDM - Strength,,0.497590991,GLCM - Inverse Variance,,0.452130828,NGTDM - Busyness
23,0.62733262,GLSZM - Size Zone Non-Uniformity Normalized,,0.490978411,First-Order - Kurtosis,,0.4348836,First-Order - Skewness
